Model,Precision (No Stroke),Recall (No Stroke),F1 (No Stroke),Precision (Stroke),Recall (Stroke),F1 (Stroke),Accuracy,Macro F1,Weighted F1
KNN,0.816,0.939,0.873,0.333,0.125,0.182,0.78,0.528,0.738
LR,0.838,0.939,0.886,0.5,0.25,0.333,0.805,0.61,0.778
RF,0.825,1.0,0.904,1.0,0.125,0.222,0.829,0.563,0.771
SVM,0.789,0.909,0.845,0.0,0.0,0.0,0.732,0.423,0.68
XGB,0.811,0.909,0.857,0.25,0.125,0.167,0.756,0.512,0.722
CatBoost Default,0.821,0.97,0.889,0.5,0.125,0.2,0.805,0.544,0.754
CatBoost Tuning,0.821,0.97,0.889,0.5,0.125,0.2,0.805,0.544,0.754
